epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,23083.7,0.96912,0.59329,0.99047,0.85798,0.6082,0.69754,0.49088,0.82071,0.49105,0.94737,0.0092476,0.0092476,0.0092476
78,23381.1,0.96959,0.59575,0.99061,0.8566,0.60987,0.69831,0.49157,0.8196,0.48959,0.94672,0.0092377,0.0092377,0.0092377
79,23679.3,0.96666,0.59208,0.98982,0.85869,0.61046,0.69905,0.49224,0.8184,0.4887,0.94622,0.0092278,0.0092278,0.0092278
80,23977.6,0.96784,0.59266,0.98881,0.86107,0.6112,0.70008,0.49284,0.81691,0.48759,0.9456,0.0092179,0.0092179,0.0092179
81,24274.6,0.96585,0.59047,0.98835,0.86288,0.61028,0.70025,0.49342,0.8158,0.48624,0.94497,0.009208,0.009208,0.009208
82,24570.5,0.96628,0.58993,0.98953,0.86095,0.61103,0.70084,0.49379,0.81446,0.48522,0.94425,0.0091981,0.0091981,0.0091981
83,24875,0.97925,0.60031,0.98741,0.86138,0.61158,0.70126,0.49464,0.81302,0.48387,0.94353,0.0091882,0.0091882,0.0091882
84,25174.6,0.98434,0.60354,0.98469,0.86155,0.61246,0.70153,0.49513,0.8118,0.48284,0.94295,0.0091783,0.0091783,0.0091783
85,25473,0.98734,0.60711,0.98419,0.86246,0.61326,0.70216,0.49561,0.81075,0.48164,0.94228,0.0091684,0.0091684,0.0091684
86,25771.7,0.98814,0.60944,0.9822,0.86317,0.61245,0.70231,0.49607,0.80946,0.48076,0.94165,0.0091585,0.0091585,0.0091585
87,26071.7,0.98928,0.6099,0.98071,0.86219,0.61414,0.70344,0.49649,0.80849,0.47976,0.94103,0.0091486,0.0091486,0.0091486
88,26372.1,0.98924,0.61087,0.97977,0.86425,0.61444,0.70416,0.49707,0.80739,0.47854,0.94045,0.0091387,0.0091387,0.0091387
89,26670.9,0.98829,0.61066,0.97947,0.86452,0.61463,0.70469,0.49767,0.80614,0.4777,0.93994,0.0091288,0.0091288,0.0091288
90,26968.8,0.99196,0.61292,0.97919,0.86269,0.61653,0.70532,0.49806,0.80539,0.47688,0.93959,0.0091189,0.0091189,0.0091189
91,27268.5,0.98707,0.6106,0.97603,0.86502,0.61596,0.70578,0.49852,0.80416,0.47585,0.93898,0.009109,0.009109,0.009109
92,27574.9,0.98836,0.61085,0.97748,0.86494,0.61653,0.70605,0.4986,0.80327,0.47512,0.93847,0.0090991,0.0090991,0.0090991
